"global_category","indicator_name","value","count","No future losses indicated","#N/A","Future losses: >7 bn (by 2030); almost 30 bn (by 2050)","Future losses: 0.4-30.8 bn for low mitigation scenario; 3.4-29.8 bn for moderate/high mitigation scenario (2020-2030)","Future losses: 0.6-1.2 mio/year (until 2030); 2-7 mio (2030-2050)","Future losses: 1.8% GDP loss (by 2050)","Future losses: 10-12 bn (unknown timeline)"," without adaptation","Future losses: 2-11% GDP loss (without adaptattion"," by 2020); GDP loss of 4.5% (BAU scenario"," by 2050)","Future losses: 2-3% GDP loss (agriculture"," hydropower"," water-induced disasters; by 2050)","Future losses: 2% GDP loss (by 2050); 9.4% GDP loss (by 2100)","Future losses: 20.5 bn /20% production loss (agriculture; 2016-2030)","Future losses: 2005 bn (water resources"," energy"," healthcare"," forests/biodiversity"," agriculture"," emergencies; timeline unclear)","Future losses: 270-332 bn (2010-2050)/ 3.2-5.6 bn (annually)","Future losses: 40 bn damage (flooding; timeline unclear)","Future losses: 5 bn per year (2 degree warming scenario; 2010-2060); 9 bn per year (4-5 degree warming scenario"," 2010-2060)","Future losses: 5.7-6.8% loss GDP growth (by 2030); 20.2-23.4% loss GDP growth (by 2050)","Future losses: 6.5% GDP loss (timeline unclear)","Future losses: 77 million (by 2025) or 1.8 bn without adaptation","Future losses: 836 million (climate-related impacts; by 2050)","No future losses indicated- 0.2-53.1 bn in 2030-2050","No losses indicated","Future losses: 24","2 million (per year"," tourism sector); 12","5 million (per year"," fisheries sector)","Future losses: 3.7 bn/year (2015-2030)","Future losses: 4000 per household (2020)","GlobalScore"
"Adaptation","Costs of future climate-related hazards (currency US$)","No future losses indicated",311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","#N/A",28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: >7 bn (by 2030); almost 30 bn (by 2050)",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 0.4-30.8 bn for low mitigation scenario; 3.4-29.8 bn for moderate/high mitigation scenario (2020-2030)",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 0.6-1.2 mio/year (until 2030); 2-7 mio (2030-2050)",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 1.8% GDP loss (by 2050)",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 10-12 bn (unknown timeline), without adaptation",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 2-11% GDP loss (without adaptattion, by 2020); GDP loss of 4.5% (BAU scenario, by 2050)",2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 2-3% GDP loss (agriculture, hydropower, water-induced disasters; by 2050)",2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 2% GDP loss (by 2050); 9.4% GDP loss (by 2100)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 20.5 bn /20% production loss (agriculture; 2016-2030)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 2005 bn (water resources, energy, healthcare, forests/biodiversity, agriculture, emergencies; timeline unclear)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 270-332 bn (2010-2050)/ 3.2-5.6 bn (annually)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 40 bn damage (flooding; timeline unclear)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 5 bn per year (2 degree warming scenario; 2010-2060); 9 bn per year (4-5 degree warming scenario, 2010-2060)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 5.7-6.8% loss GDP growth (by 2030); 20.2-23.4% loss GDP growth (by 2050)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 6.5% GDP loss (timeline unclear)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 77 million (by 2025) or 1.8 bn without adaptation",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 836 million (climate-related impacts; by 2050)",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of future climate-related hazards (currency US$)","No future losses indicated- 0.2-53.1 bn in 2030-2050",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Adaptation","Costs of future climate-related hazards (currency US$)","No losses indicated",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 24,2 million (per year, tourism sector); 12,5 million (per year, fisheries sector)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,5
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 3.7 bn/year (2015-2030)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Adaptation","Costs of future climate-related hazards (currency US$)","Future losses: 4000 per household (2020)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Adaptation","Costs of future climate-related hazards (currency US$)","No Document Submitted",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
