"global_category","indicator_name","value","count","Renewable Energy","Energy Efficiency"," Energy: General"," Renewable Energy","Energy: General","Power System Planning","Biomass Energy","Energy Access"," Power System Planning"," Supply-Side Efficiency: Power Generation Efficiency Improvement","Renewable Energy: Hydro"," Clean Cooking and Heating: Efficient Cookstoves"," Demand-Side Efficiency: Buildings"," Energy Access"," Energy Efficiency"," Power System Planning: Distribution Lines"," Power System Planning: Transmission Lines"," Renewable Energy: Hydro"," Renewable Energy: Biofuels","CCS"," Demand-Side Efficiency"," Renewable Energy: Solar"," Demand-Side Efficiency: Appliances"," Demand-Side Efficiency: Industries"," Gas"," Gas Flaring"," Renewable Energy: Wind"," Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle","Clean Cooking and Heating"," Clean Cooking and Heating: Cleaner Household Fuels"," Ecosystem and Biodiversity"," Sustainable Forest Management"," Vehicle Fleet"," Demand-Side Efficiency: Cities"," Supply-Side Efficiency: Grid/Energy Loss Reduction"," Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching"," Watershed and River Basin Management"," Land Degradation"," Health Services and Assessment"," Gas Pipelines"," Gas Processing"," Renewable Energy: Geothermal"," Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants","Clean Cooking and Heating: Cleaner Household Fuels"," Renewable Energy: Solar: Utility Scale"," Gas-to-Power"," Mini-Grids"," Renewable Energy: Ocean"," Renewable Energy: Waste-to-Energy","Clean Cooking and Heating: Efficient Cookstoves"," Sustainable Transport Planning"," Water Conservation and Reuse"," Water Infrastructure"," Renewable Energy: Off-Grid"," Supply-Side Efficiency"," Renewable Energy: Solar: Off-Grid"," Demand-Side Efficiency: Tourism"," Sustainable Land Management"," Gas Field Development"," Awareness Raising and Behavior Change"," Supply-Side Efficiency: Power Generation Efficiency Improvement: Rehabilitation","Demand-Side Efficiency"," Grasslands","Demand-Side Efficiency: Appliances"," Industries: General"," Afforestation","Demand-Side Efficiency: Buildings","Demand-Side Efficiency: Cities","Demand-Side Efficiency: Industries","Energy efficiency"," Sustainable Urban Planning"," Water Management","Gas","Power System Planning: Transmission Lines"," Energy efficiency"," Supply-side efficiency: Power generation efficiency improvement"," Clean cooking and heating: Efficient cookstoves"," Demand-side efficiency"," Iron and Steel"," Supply-side efficiency: Grid/energy loss reduction"," Demand-side efficiency: Appliances","  Renewable Energy: Wind","Renewable Energy: Geothermal","Renewable Energy: Solar","Renewable Energy: Waste","Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching","GlobalScore"
"Adaptation","Energy","No specified measure",284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitigation","Energy","No specified measure",103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adaptation","Energy","Renewable Energy",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Energy","Renewable Energy",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Energy","Energy Efficiency, Energy: General, Renewable Energy",10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Mitigation","Energy","Energy: General",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Energy","Power System Planning",10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Energy","Energy: General, Renewable Energy",9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Energy","Biomass Energy",8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Energy","Energy: General",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Energy","Energy Access",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Energy","Energy Efficiency, Renewable Energy",4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Energy","Energy: General, Power System Planning",4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Energy","Power System Planning, Renewable Energy",4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Energy","Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement",4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Energy","Renewable Energy: Hydro",4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Adaptation","Energy","Biomass Energy, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency: Buildings, Energy Access",2,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Adaptation","Energy","Biomass Energy, Clean Cooking and Heating: Efficient Cookstoves, Energy: General",2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Energy","Biomass Energy, Energy Efficiency, Energy: General, Energy: General, Power System Planning, Power System Planning: Distribution Lines, Power System Planning: Transmission Lines, Renewable Energy, Renewable Energy: Hydro",2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
"Adaptation","Energy","Biomass Energy, Energy Efficiency, Energy: General, Renewable Energy, Renewable Energy",2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Adaptation","Energy","Biomass Energy, Energy: General, Power System Planning, Renewable Energy, Renewable Energy: Biofuels",2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Mitigation","Energy","CCS, Demand-Side Efficiency, Energy: General, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Solar",2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"Mitigation","Energy","CCS, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Gas, Gas Flaring, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle",2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20
"Mitigation","Energy","CCS, Demand-Side Efficiency: Appliances, Energy: General",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Mitigation","Energy","CCS, Demand-Side Efficiency: Buildings, Gas, Gas Flaring, Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement: Gas-Powered Combined Cycle",2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Mitigation","Energy","Clean Cooking and Heating, Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Energy Efficiency, Energy: General, Ecosystem and Biodiversity, Sustainable Forest Management, Sustainable Forest Management, Vehicle Fleet",2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Mitigation","Energy","Clean Cooking and Heating, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Cities, Energy Efficiency, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching, Demand-Side Efficiency: Buildings, Watershed and River Basin Management, Land Degradation, Sustainable Forest Management",2,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28
"Mitigation","Energy","Clean Cooking and Heating, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Energy Efficiency, Renewable Energy, Renewable Energy: Hydro, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement, Ecosystem and Biodiversity, Health Services and Assessment, Sustainable Forest Management, Sustainable Forest Management, Vehicle Fleet",2,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Mitigation","Energy","Clean Cooking and Heating, Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Energy Efficiency, Energy: General, Gas, Gas Pipelines, Gas Processing, Renewable Energy: Hydro, Supply-Side Efficiency: Grid/Energy Loss Reduction",2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Mitigation","Energy","Clean Cooking and Heating, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Gas, Renewable Energy: Biofuels, Renewable Energy: Geothermal, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind, Supply-Side Efficiency: Grid/Energy Loss Reduction, Supply-Side Efficiency: Power Generation Efficiency Improvement: Cogeneration Plants",2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,23
"Mitigation","Energy","Clean Cooking and Heating, Energy: General, Power System Planning, Renewable Energy, Renewable Energy: Biofuels",2,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Mitigation","Energy","Clean Cooking and Heating, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar, Renewable Energy: Wind",2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
"Mitigation","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency, Demand-Side Efficiency: Appliances, Demand-Side Efficiency: Buildings, Demand-Side Efficiency: Industries, Energy: General, Renewable Energy, Renewable Energy: Biofuels, Renewable Energy: Hydro, Renewable Energy: Solar: Utility Scale",2,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
"Mitigation","Energy","Clean Cooking and Heating: Cleaner Household Fuels, Clean Cooking and Heating: Efficient Cookstoves, Demand-Side Efficiency, Energy: General, Energy: General, Renewable Energy: Solar",2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
